firstName,lastName,hireDate,seasons
Paul,Johnson,2001-12-10T00:00:00.000Z,"[{'school': 'Navy', 'year': 2005, 'games': 12, 'wins': 8, 'losses': 4, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 0.9, 'spOverall': -2.1, 'spOffense': 32.4, 'spDefense': 34.5}]"
June,Jones,,"[{'school': ""Hawai'i"", 'year': 2005, 'games': 12, 'wins': 5, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -6.8, 'spOverall': -2.9, 'spOffense': 34.2, 'spDefense': 37.1}]"
Brian,Kelly,2004-01-02T00:00:00.000Z,"[{'school': 'Central Michigan', 'year': 2005, 'games': 11, 'wins': 6, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -1.8, 'spOverall': -8.1, 'spOffense': 22.1, 'spDefense': 30.1}]"
Dirk,Koetter,2000-12-01T00:00:00.000Z,"[{'school': 'Arizona State', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': 20, 'postseasonRank': None, 'srs': 12, 'spOverall': 12.5, 'spOffense': 42.4, 'spDefense': 29.9}]"
Steve,Kragthorpe,2002-12-17T00:00:00.000Z,"[{'school': 'Tulsa', 'year': 2005, 'games': 13, 'wins': 9, 'losses': 4, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 3.3, 'spOverall': 1.5, 'spOffense': 27.8, 'spDefense': 26.4}]"
Mike,Leach,1999-12-09T00:00:00.000Z,"[{'school': 'Texas Tech', 'year': 2005, 'games': 12, 'wins': 9, 'losses': 3, 'ties': 0, 'preseasonRank': 21, 'postseasonRank': 20, 'srs': 15, 'spOverall': 25.4, 'spOffense': 40.8, 'spDefense': 15.4}]"
Jim,Leavitt,1995-12-12T00:00:00.000Z,"[{'school': 'South Florida', 'year': 2005, 'games': 12, 'wins': 6, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 8.1, 'spOverall': 2.3, 'spOffense': 22.4, 'spDefense': 20.1}]"
Rocky,Long,,"[{'school': 'New Mexico', 'year': 2005, 'games': 11, 'wins': 6, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -3.9, 'spOverall': 0.2, 'spOffense': 28, 'spDefense': 27.8}]"
Sonny,Lubick,,"[{'school': 'Colorado State', 'year': 2005, 'games': 12, 'wins': 6, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -3.6, 'spOverall': -2.9, 'spOffense': 31.4, 'spDefense': 34.3}]"
Mark,Mangino,2001-12-04T00:00:00.000Z,"[{'school': 'Kansas', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 3.1, 'spOverall': 8.5, 'spOffense': 22.5, 'spDefense': 14}]"
Doug,Martin,2004-03-01T00:00:00.000Z,"[{'school': 'Kent State', 'year': 2005, 'games': 11, 'wins': 1, 'losses': 10, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -21, 'spOverall': -19, 'spOffense': 11.4, 'spDefense': 30.3}]"
Glen,Mason,,"[{'school': 'Minnesota', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 14.2, 'spOverall': 15.9, 'spOffense': 40.7, 'spDefense': 24.7}]"
Dan,McCarney,,"[{'school': 'Iowa State', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 11.5, 'spOverall': 13, 'spOffense': 27.7, 'spDefense': 14.7}]"
Andy,McCollum,,"[{'school': 'Middle Tennessee', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -12.4, 'spOverall': -15.3, 'spOffense': 14.6, 'spDefense': 29.9}]"
Bronco,Mendenhall,2004-12-13T00:00:00.000Z,"[{'school': 'BYU', 'year': 2005, 'games': 12, 'wins': 6, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 2.7, 'spOverall': 2.8, 'spOffense': 35.3, 'spDefense': 32.5}]"
Urban,Meyer,2004-12-03T00:00:00.000Z,"[{'school': 'Florida', 'year': 2005, 'games': 12, 'wins': 9, 'losses': 3, 'ties': 0, 'preseasonRank': 10, 'postseasonRank': 12, 'srs': 12.6, 'spOverall': 6.7, 'spOffense': 26.3, 'spDefense': 19.6}]"
Les,Miles,2005-01-02T00:00:00.000Z,"[{'school': 'LSU', 'year': 2005, 'games': 13, 'wins': 11, 'losses': 2, 'ties': 0, 'preseasonRank': 5, 'postseasonRank': 6, 'srs': 16.7, 'spOverall': 20.3, 'spOffense': 32, 'spDefense': 11.7}]"
Shane,Montgomery,2004-12-28T00:00:00.000Z,"[{'school': 'Miami (OH)', 'year': 2005, 'games': 11, 'wins': 7, 'losses': 4, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 2.9, 'spOverall': 0.3, 'spOffense': 27.6, 'spDefense': 27.3}]"
Guy,Morriss,2002-12-10T00:00:00.000Z,"[{'school': 'Baylor', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 0.3, 'spOverall': 1.2, 'spOffense': 20.2, 'spDefense': 19}]"
Hal,Mumme,2004-12-30T00:00:00.000Z,"[{'school': 'New Mexico State', 'year': 2005, 'games': 12, 'wins': 0, 'losses': 12, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -26, 'spOverall': -29.2, 'spOffense': 12.8, 'spDefense': 42}]"
Joe,Novak,,"[{'school': 'Northern Illinois', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 6, 'spOverall': 5.9, 'spOffense': 34.4, 'spDefense': 28.5}]"
Houston,Nutt,,"[{'school': 'Arkansas', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 4.9, 'spOverall': 10.6, 'spOffense': 29, 'spDefense': 18.4}]"
Tom,O'Brien,,"[{'school': 'Boston College', 'year': 2005, 'games': 12, 'wins': 9, 'losses': 3, 'ties': 0, 'preseasonRank': 22, 'postseasonRank': 18, 'srs': 13.4, 'spOverall': 19.2, 'spOffense': 30.4, 'spDefense': 11.2}]"
George,O'Leary,2003-12-08T00:00:00.000Z,"[{'school': 'UCF', 'year': 2005, 'games': 13, 'wins': 8, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -6, 'spOverall': -11.7, 'spOffense': 25.8, 'spDefense': 37.5}]"
Ed,Orgeron,2004-12-16T00:00:00.000Z,"[{'school': 'Ole Miss', 'year': 2005, 'games': 11, 'wins': 3, 'losses': 8, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -9.5, 'spOverall': -4.2, 'spOffense': 15.7, 'spDefense': 20}]"
Joe,Paterno,,"[{'school': 'Penn State', 'year': 2005, 'games': 12, 'wins': 11, 'losses': 1, 'ties': 0, 'preseasonRank': None, 'postseasonRank': 3, 'srs': 23.5, 'spOverall': 29.3, 'spOffense': 38.2, 'spDefense': 9}]"
Gary,Patterson,2000-12-08T00:00:00.000Z,"[{'school': 'TCU', 'year': 2005, 'games': 12, 'wins': 11, 'losses': 1, 'ties': 0, 'preseasonRank': None, 'postseasonRank': 11, 'srs': 11.8, 'spOverall': 10.5, 'spOffense': 28.3, 'spDefense': 17.7}]"
Bobby,Petrino,2002-12-23T00:00:00.000Z,"[{'school': 'Louisville', 'year': 2005, 'games': 12, 'wins': 9, 'losses': 3, 'ties': 0, 'preseasonRank': 12, 'postseasonRank': 19, 'srs': 15.7, 'spOverall': 20.3, 'spOffense': 41.5, 'spDefense': 21.2}]"
Gary,Pinkel,2000-11-29T00:00:00.000Z,"[{'school': 'Missouri', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 1.5, 'spOverall': 5.7, 'spOffense': 28.9, 'spDefense': 23.2}]"
